,screen_name,created_at,full_text
125,noorxbt,2019-05-26 14:15:29,RT @hummusprinses: Ik wil vrienden die met mij naar verkiezingsresultaten kijken alsof GOTfinale of een WK is https://t.co/Q80ngpk5Gc
126,Iltschitje,2019-05-26 14:12:51,"RT @WHALES_org: #GameOfThrones star Bronn, Master of Coin has a message for you!

No spoilers for #GOTFinale   

More about the #belugasanc "
127,TheCookandGooch,2019-05-26 14:08:34,"RT @PnutMan87: #podin @TheCookandGooch The Love of Thrones Episode 6: The Finale Feat
 @TheChiz88
https://t.co/W6B130bvDX via @PodcastAddic "
128,kyomanlaunibb,2019-05-26 14:04:08,"RT @ousmanedaleader: Me: Why this sad face ?
Him: I've spent half the day lost, other half trying to understand what i'm seeing
Me: What ar "
129,NadiaBCarmon,2019-05-26 14:02:57,"Amazing Jenny of Oldstones covers ya'll should like    : 
https://t.co/MfLLHyIPCz via @itsginnydi
https://t.co/vuoxkf5Z2E via @mba_eme
https://t.co/9lOALhx5l2 via @YellowHouseCNY &amp;Tale of a Monster #GameofThrones #TheFinalEpisode #GoTFinale"
130,ciohirate,2019-05-26 14:02:10,RT @skrou76: J arrive pas a dormir tant mieux il y a #GOTFinale  
131,jcnn132,2019-05-26 13:55:05,"RT @udotai_j: Jamie Lannister's kingslayer level is so high, he tried to kill the king 8 seasons ago   
#GameofThrones #GameOfThronesFinale "
132,Nicolafaddy,2019-05-26 13:52:50,RT @TheMessenger93: Brienne was really hurt  #GameOfThonesFinale #GOTFinale https://t.co/6zCrx3V9IW
133,alorenzo_andre,2019-05-26 13:50:33,RT @CryptoChii: #GOTFinale sucks. $BCNX @bcnex_net saves my day. At least it will make me rich af.
134,AmirMobasser,2019-05-26 13:44:33,RT @hummusprinses: Ik wil vrienden die met mij naar verkiezingsresultaten kijken alsof GOTfinale of een WK is https://t.co/Q80ngpk5Gc
135,treviccaphe,2019-05-26 13:41:18,"RT @HollywoodLurve: The ending we all DESERVE  
#DemThrones #GOTFinale #gameofthrones #jonsnow #ghost #ForTheThrone https://t.co/KFCJCGehNf"
136,HJuniad,2019-05-26 13:33:08,"RT @Hxnry_Nevoir: #JonSnow after killing Daenerys

 #TheFinalEpisode #GameofThrones #GOTFinale https://t.co/JhpNq87ggX"
137,linkit_aj,2019-05-26 13:31:56,"*****7pm tonight**** Spoiler warning!!!!, alot of people had problems with Bran and we'll be discussing why we think is later on, follow us and check it out, link to our page in bio  #linkit  #podcasting #gameofthrones #BranStark #BRAN #ForTheThrone #GOT #GOTFinale https://t.co/jXfu1iICrI"
138,PnutMan87,2019-05-26 13:22:10,"""Greyworm lost Missandei too and he was hurt too, he couldn't scissor anymore"" - Cook

MA'AM      
#GOTFinale #GameofThrones #podin @TheCookandGooch"
