,screen_name,created_at,full_text
120,Eugexo_CO,2019-05-26 19:10:05,RT @CostumeCinemato: Concept designs by #GameOfThrones Costume Designer Michele Clapton of #SansaStark coronation gown and tiara from the # 
121,94seba22,2019-05-26 19:09:28,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
122,d20toro,2019-05-26 19:08:22,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
123,YehoshuaOdidi,2019-05-26 19:07:59,"RT @ICRC: Do the Geneva Conventions apply in Westeros? 

For the #GameOfThronesFinale the @RedCrossAU analysed every violation of internati "
124,barcnetcstatoc,2019-05-26 19:07:46,"RT @The_Zeal_In_Ani: When life gives you lemon, think of #Branstark and carry on . #GameOfThronesFinale"
125,typis,2019-05-26 19:07:37,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
126,Shumstaehjjk,2019-05-26 19:07:29,"Okay I calmed down and I really was hoping for Arya to kill Daenerys . 
#GOT #GameOfThrones #GameOfThronesFinale"
127,GoldenBella91,2019-05-26 19:07:14,RT @ahumanatlarge: I agree. Fans need to appreciate the hard work that went into this series and just enjoy a great show. #GameofThrones #G 
128,MonicaaaHdez,2019-05-26 19:05:07,"RT @zarahfermas: Si Ned se hubiera quedado en el norte, hubiera sido una historia feliz. #juegodetronos8x06 #GameOfThronesFinale https://t. "
129,_Hoeston_,2019-05-26 19:04:42,RT @coryiams: What Brienne was really writing #GameOfThrones #GameOfThronesFinale https://t.co/Lrq5AdEidL
130,alepineda97,2019-05-26 19:04:40,RT @danilofuents: Ella mereci  m s que nadie el trono de los 7 reinos #LyannaMormont  #GameOfThronesFinale https://t.co/8GtbHFFdc8
131,maponko,2019-05-26 19:04:00,RT @Frncisca177: @DCComics Please  #VanessaAsCatWoman     @VanessaHudgens #Catwoman #Batwoman #Batman #dccomics #Marvel #MarvelStudios #Ave 
132,Shumstaehjjk,2019-05-26 19:03:38,"DID JON REALLY JUST KILLED DANY LIKE THAT WHAT THE FUCK 
#GOT #GameOfThrones #GameOfThronesFinale"
133,JNAabogada,2019-05-26 19:03:24,"Bran como rey de los Seis Reinos, acabando con guerras y rebeliones antes de que comiencen es como una versi n medieval de Minority Report. 
#NoLoSupero #GoT #GameOfThrones #GameOfThronesFinale"
134,Shumstaehjjk,2019-05-26 19:03:00,"WHAT THE ACTUAL FUCK JUST HAPPENED 
#GOT #GameOfThrones #GameOfThronesFinale"
135,vandal3Cs_,2019-05-26 19:02:30,"RT @QueilaValim: I Understand now, why you wanted to kill everyone. I would do the same  #GameOfThronesFinale https://t.co/zWLSkZxwD6"
